id;nome;imagem_path;is_figura;legenda;instrumento_id;historia_id
118;amptor02;data/images/fotos/mecanica/21-torniquetes/amptor02.jpg;false;null;103;null
119;amptor03;data/images/fotos/mecanica/21-torniquetes/amptor03.jpg;false;null;104;null

120;ampmec01_00;data/images/fotos/mecanica/22-geral/ampmec01_00.jpg;false;null;105;null
121;ampmec01_I;data/images/fotos/mecanica/22-geral/ampmec01_I.jpg;false;null;105;null
122;ampmec01_II;data/images/fotos/mecanica/22-geral/ampmec01_II.jpg;false;null;105;null
123;ampmec01_III;data/images/fotos/mecanica/22-geral/ampmec01_III.jpg;false;null;105;null
124;ampmec01_IV;data/images/fotos/mecanica/22-geral/ampmec01_IV.jpg;false;null;105;null
125;ampmec01_V;data/images/fotos/mecanica/22-geral/ampmec01_V.jpg;false;null;105;null
126;ampmec01_VI;data/images/fotos/mecanica/22-geral/ampmec01_VI.jpg;false;null;105;null
127;ampmec01_VII;data/images/fotos/mecanica/22-geral/ampmec01_VII.jpg;false;null;105;null
128;ampmec01_VIII;data/images/fotos/mecanica/22-geral/ampmec01_VIII.jpg;false;null;105;null
129;ampmec01_IX;data/images/fotos/mecanica/22-geral/ampmec01_IX.jpg;false;null;105;null
130;ampmec01_X;data/images/fotos/mecanica/22-geral/ampmec01_X.jpg;false;null;105;null
131;ampmec02;data/images/fotos/mecanica/22-geral/ampmec02.jpg;false;null;106;null
132;ampmec03;data/images/fotos/mecanica/22-geral/ampmec03.jpg;false;null;107;null
133;ampmec04;data/images/fotos/mecanica/22-geral/ampmec04.jpg;false;null;108;null
134;ampmec05;data/images/fotos/mecanica/22-geral/ampmec05.jpg;false;null;109;null

135;ampopt01;data/images/fotos/optica/ampopt01.jpg;false;null;110;null
136;ampopt02;data/images/fotos/optica/ampopt02.jpg;false;null;111;null
137;ampopt03;data/images/fotos/optica/ampopt03.jpg;false;null;112;null
138;ampopt04;data/images/fotos/optica/ampopt04.jpg;false;null;113;null
139;ampopt05;data/images/fotos/optica/ampopt05.jpg;false;null;114;null
140;ampopt06;data/images/fotos/optica/ampopt06.jpg;false;null;115;null
141;ampopt07;data/images/fotos/optica/ampopt07.jpg;false;null;116;null
